"","Isolate","level 1","level 2"
"1","PA10",1,1
"2","PA1012",2,3
"3","PA1013",2,3
"4","PA1014",2,3
"5","PA1015",2,3
"6","PA1019",3,6
"7","PA1020",3,6
"8","PA1021",3,7
"9","PA1022",3,7
"10","PA1023",3,7
"11","PA1024",3,7
"12","PA1029",3,7
"13","PA1030",3,7
"14","PA1031",3,8
"15","PA1032",3,8
"16","PA1033",3,8
"17","PA1034",3,8
"18","PA1039",3,8
"19","PA1040",3,8
"20","PA1041",3,6
"21","PA1042",3,6
"22","PA1043",4,21
"23","PA1044",4,21
"24","PA1045",4,21
"25","PA1046",4,21
"26","PA1049",4,21
"27","PA1050",4,21
"28","PA1051",4,21
"29","PA1052",4,21
"30","PA1053",3,9
"31","PA1054",3,9
"32","PA1055",3,9
"33","PA1056",3,9
"34","PA1061",5,24
"35","PA1062",5,24
"36","PA1063",5,24
"37","PA1064",5,24
"38","PA1066",5,24
"39","PA1067",5,24
"40","PA1068",5,24
"41","PA1069",5,24
"42","PA1070",5,24
"43","PA1071",3,6
"44","PA1073",3,10
"45","PA1074",3,10
"46","PA1075",3,10
"47","PA1076",3,10
"48","PA1078",3,10
"49","PA1079",3,10
"50","PA1080",3,10
"51","PA1081",3,10
"52","PA1083",3,10
"53","PA1084",3,10
"54","PA1085",4,22
"55","PA1086",4,22
"56","PA1087",3,11
"57","PA1088",3,11
"58","PA1089",3,11
"59","PA1090",3,11
"60","PA1094",3,11
"61","PA1095",3,11
"62","PA1096",3,11
"63","PA1097",3,11
"64","PA1107",6,28
"65","PA1108",6,28
"66","PA1109",6,28
"67","PA1110",6,28
"68","PA1112",6,28
"69","PA1113",6,28
"70","PA1114",6,28
"71","PA1115",6,28
"72","PA1119",6,28
"73","PA1120",6,28
"74","PA1121",6,28
"75","PA1122",6,28
"76","PA1136",7,32
"77","PA1137",7,32
"78","PA1138",7,32
"79","PA1139",7,32
"80","PA1141",7,32
"81","PA1142",7,32
"82","PA1143",7,32
"83","PA1144",7,32
