"","AETdiff","AMK","GEN","TOB","CIP","LEV","COL","ATM","CAZ","FEP","MEM","IPM","TZP"
"1","1","16","8","1","0.125","0.25","1","8","4","4","1","2","8"
"2","0","16","8","2","0.25","1","1","0.25","1","4","0.0625","0.25","1"
"3","0","16","8","1","0.25","0.5","1","0.25","1","2","0.125","0.25","0.5"
"4","0","16","8","1","0.25","0.5","1","1","2","2","0.125","1","0.25"
"5","0","16","8","1","0.25","0.5","2","0.25","2","2","0.0625","1","2"
"6","0","2","2","0.5","0.125","0.5","0.5","4","2","1","1","1","2"
"7","0","4","2","0.5","0.125","1","2","4","2","2","0.125","1","4"
"8","0","8","4","1","0.125","0.5","1","8","4","0.5","2","1","8"
"9","0","8","4","1","0.25","0.5","1","8","4","2","0.25","2","4"
"10","0","8","4","1","0.25","1","1","8","4","4","0.25","1","8"
"11","0","4","4","1","0.25","0.5","1","8","4","2","0.25","1","8"
"12","0","4","4","1","0.0625","0.25","1","8","256","2","0.25","1","8"
"13","0","4","2","1","0.25","0.5","4","8","16","8","0.25","1","8"
"14","0","16","8","1","0.5","2","0.5","16","8","8","8","32","16"
"15","0","8","8","1","0.5","2","0.5","16","8","8","16","32","16"
"16","0","16","8","4","0.5","2","0.5","16","8","8","8","32","16"
"17","0","16","4","1","0.5","2","1","16","8","32","4","32","16"
"18","0","8","4","0.25","0.5","0.5","2","16","8","16","4","32","16"
"19","0","8","4","1","0.5","1","0.5","16","8","16","4","32","64"
"20","0","8","4","0.5","0.125","0.5","0.5","8","2","0.125","2","2","4"
"21","0","8","4","1","0.125","0.5","1","8","4","2","0.0625","2","4"
"22","0","8","2","0.5","0.0625","0.5","0.5","8","4","2","0.125","1","8"
"23","0","4","2","0.5","0.125","0.5","0.5","8","4","2","0.25","8","8"
"24","0","4","2","0.5","0.0312","0.25","0.5","8","4","2","0.125","1","8"
"25","0","4","2","0.25","0.25","0.5","0.5","8","4","2","0.25","1","8"
"26","0","4","2","0.25","0.25","1","0.5","8","4","2","0.5","4","4"
